,program_name,singer,music,views,likes,comments,atmosphere,subject,atmos_label,sub_label
0,미스터트롯,임영웅,바램,2223366,22906,4689,슬픔,인생,1,3
1,미스터트롯,영탁,사내,604639,6583,1599,활기참,인생,6,3
2,미스터트롯,영탁,댄싱퀸,828628,7804,1884,신남,남녀사랑,2,1
3,미스터트롯,임영웅,댄싱퀸,828628,7804,1884,신남,남녀사랑,2,1
4,미스터트롯,영탁,막걸리 한 잔,1805978,19675,7231,활기참,부모효도,6,2
5,미스터트롯,임영웅,일편단심 민들레야,2168541,24198,14396,슬픔,남녀사랑,1,1
6,미스터트롯,임영웅,사랑밖에 난 몰라,286151,3882,769,씁쓸함,남녀사랑,3,1
7,미스터트롯,임영웅,십분 내로,478268,5822,2282,신남,남녀사랑,2,1
8,미스터트롯,임영웅,곤드레 만드레,416870,5282,1678,신남,남녀사랑,2,1
9,미스터트롯,영탁,1.2.3.4,197430,1948,598,신남,남녀사랑,2,1
10,미스터트롯,영탁,울엄마,251494,1947,685,활기참,부모효도,6,2
11,미스터트롯,영탁,부초같은 인생,233645,2104,763,활기참,희망부여,6,4
12,미스터트롯,영탁,뿐이고,246004,2447,1203,신남,부모효도,2,2
13,미스터트롯,임영웅,어느 60대 노부부 이야기,3803727,38643,19169,씁쓸함,남녀사랑,3,1
14,미스터트롯,영탁,추억으로 가는 당신,1324780,17688,14937,활기참,남녀사랑,6,1
15,미스터트롯,임영웅,보라빛 엽서,3118971,28765,25718,애절함,남녀사랑,4,1
16,미스터트롯,임영웅,울면서 후회하네,2192797,20813,24660,애절함,남녀사랑,4,1
17,미스터트롯,영탁,또 만났네요,619423,7218,5837,신남,남녀사랑,2,1
18,미스터트롯,영탁,찐이야,1236153,16703,10464,신남,남녀사랑,2,1
19,미스터트롯,임영웅,두 주먹,1052558,29112,55226,활기참,남녀사랑,6,1
20,미스터트롯,영탁,내 삶의 이유 있음은,733508,9475,5464,애절함,인생,4,3
21,미스터트롯,정동원,보릿고개,1218700,12459,4367,슬픔,과거역경,1,0
22,미스터트롯,정동원,사랑은 눈물의 씨앗,1559151,17296,15988,슬픔,남녀사랑,1,1
23,미스터트롯,정동원,백세인생,651965,8701,1889,씁쓸함,인생,3,3
24,미스터트롯,정동원,청춘(고장난 벽시계),707084,9536,2472,슬픔,인생,1,3
25,미스터트롯,정동원,다함께 차차차,615969,7542,1421,활기참,인생,6,3
26,미스터트롯,정동원,젊은 그대,802646,9493,2333,신남,희망부여,2,4
27,미스터트롯,정동원,희망가,1564329,22467,10505,어두움,인생,5,3
28,미스터트롯,정동원,여백,1363158,12502,31164,씁쓸함,인생,3,3
29,미스터트롯,정동원,누가 울어,811913,9514,16754,슬픔,남녀사랑,1,1
30,미스터트롯,정동원,우수,1372049,13299,13770,슬픔,남녀사랑,1,1
31,미스터트롯,김희재,돌리도,298329,2852,1136,활기참,남녀사랑,6,1
32,미스터트롯,김희재,내 마음 별과 같이,363381,4021,2460,씁쓸함,인생,3,3
33,미스터트롯,김희재,꽃을 든 남자,289495,2846,3035,활기참,남녀사랑,6,1
34,미스터트롯,김희재,사랑아(나무꾼),249147,1493,824,슬픔,남녀사랑,1,1
35,미스터트롯,김희재,사랑은 어디에,184651,2079,5340,씁쓸함,남녀사랑,3,1
36,미스터트롯,김희재,나만의 여인,377441,2410,6281,씁쓸함,남녀사랑,3,1
37,미스터트롯,김희재,나는 남자다,328525,3019,3922,활기참,희망부여,6,4
38,미스터트롯,김희재,잃어버린 정,232993,2580,1667,슬픔,남녀사랑,1,1
39,미스터트롯,김희재,아카시아,205241,2137,1262,활기참,남녀사랑,6,1
40,미스터트롯,김희재,신 사랑 고개,137070,5138,43174,슬픔,남녀사랑,1,1
41,미스터트롯,임영웅,배신자,2637009,27722,24104,씁쓸함,남녀사랑,3,1
42,미스터트롯,장민호,봄날은 간다,250626,1415,458,애절함,남녀사랑,4,1
43,미스터트롯,장민호,댄싱퀸,828458,7804,1884,신남,남녀사랑,2,1
44,미스터트롯,장민호,님,351478,2406,1301,씁쓸함,남녀사랑,3,1
45,미스터트롯,장민호,사랑만은 않겠어요,144476,473,195,신남,남녀사랑,2,1
46,미스터트롯,장민호,상사화,874581,8289,20056,애절함,남녀사랑,4,1
47,미스터트롯,장민호,파트너,1338260,15423,13423,신남,남녀사랑,2,1
48,미스터트롯,장민호,역쩐 인생,520039,4751,11921,신남,희망부여,2,4
49,미스터트롯,장민호,남자라는 이유로,258115,2538,1333,애절함,인생,4,3
50,미스터트롯,이찬원,진또배기,1194086,19499,16047,신남,인생,2,3
51,미스터트롯,이찬원,내 마음 별과 같이,363457,4021,2460,활기참,인생,6,3
52,미스터트롯,이찬원,울긴 왜 울어,1214322,18734,18076,활기참,인생,6,3
53,미스터트롯,이찬원,백세인생,652104,8703,1890,활기참,인생,6,3
54,미스터트롯,이찬원,잃어버린 30년,784028,15939,35332,애절함,인생,4,3
55,미스터트롯,이찬원,남자다잉,645542,8737,11345,신남,희망부여,2,4
56,미스터트롯,이찬원,딱! 풀,775387,15576,56242,활기참,희망부여,6,4
57,미스터트롯,이찬원,18세 순이,1398127,20415,39111,신남,남녀사랑,2,1
